name,Price,season,fp,fppd
Giannis Antetokounmpo,198,2019-2020,5040.5,25.457070707070706
Kawhi Leonard,167,2019-2020,3539.5,21.194610778443113
Montrezl Harrell,52,2019-2020,2864.0,55.07692307692308
Joel Embiid,170,2019-2020,3165.5,18.620588235294118
Karl-Anthony Towns,172,2019-2020,2264.5,13.165697674418604
Nikola Jokic,182,2019-2020,4680.0,25.714285714285715
Zach LaVine,81,2019-2020,2963.0,36.58024691358025
Stephen Curry,181,2019-2020,218.0,1.2044198895027625
Russell Westbrook,160,2019-2020,3815.5,23.846875
Chris Paul,89,2019-2020,3437.0,38.61797752808989
Anthony Davis,176,2019-2020,4276.5,24.298295454545453
James Harden,187,2019-2020,5228.0,27.9572192513369
Mitchell Robinson,61,2019-2020,2246.0,36.81967213114754
Deandre Ayton,65,2019-2020,2117.5,32.57692307692308
LeBron James,165,2019-2020,5009.5,30.36060606060606
Damian Lillard,128,2019-2020,4431.0,34.6171875
Luka Doncic,120,2019-2020,4546.5,37.8875
Bradley Beal,132,2019-2020,3521.0,26.674242424242426
Nikola Vucevic,120,2019-2020,3627.5,30.229166666666668
Myles Turner,65,2019-2020,2236.5,34.40769230769231
Devin Booker,75,2019-2020,3861.0,51.48
Rudy Gobert,93,2019-2020,3843.0,41.32258064516129
Lauri Markkanen,63,2019-2020,1534.0,24.349206349206348
Jayson Tatum,50,2019-2020,3388.0,67.76
Domantas Sabonis,47,2019-2020,3820.5,81.2872340425532
Kemba Walker,81,2019-2020,2477.5,30.58641975308642
John Collins,68,2019-2020,2395.0,35.220588235294116
Kristaps Porzingis,72,2019-2020,3033.5,42.13194444444444
Kevin Love,53,2019-2020,2499.5,47.160377358490564
Zion Williamson,37,2019-2020,1132.0,30.594594594594593
Ben Simmons,105,2019-2020,3490.5,33.24285714285714
Kyrie Irving,88,2019-2020,1137.5,12.926136363636363
Mike Conley,58,2019-2020,1536.5,26.49137931034483
Julius Randle,51,2019-2020,3038.0,59.568627450980394
Draymond Green,45,2019-2020,1580.0,35.111111111111114
Ricky Rubio,125,2019-2020,3058.5,24.468
Paul George,97,2019-2020,2297.0,23.68041237113402
Andre Drummond,113,2019-2020,3538.5,31.3141592920354
Jimmy Butler,85,2019-2020,3317.5,39.029411764705884
Trae Young,90,2019-2020,4028.5,44.76111111111111
Clint Capela,78,2019-2020,2141.0,27.44871794871795
De'Aaron Fox,52,2019-2020,2642.0,50.80769230769231
Andrew Wiggins,32,2019-2020,2509.5,78.421875
John Wall,5,2019-2020,,
Blake Griffin,51,2019-2020,579.5,11.362745098039216
Derrick Favors,21,2019-2020,1858.5,88.5
Meyers Leonard,4,2019-2020,917.0,229.25
LaMarcus Aldridge,70,2019-2020,2679.0,38.27142857142857
Jrue Holiday,79,2019-2020,3177.0,40.21518987341772
Kyle Lowry,33,2019-2020,2986.5,90.5
Pascal Siakam,52,2019-2020,3014.5,57.97115384615385
Donovan Mitchell,33,2019-2020,3184.5,96.5
D'Angelo Russell,63,2019-2020,2211.5,35.1031746031746
Aaron Gordon,23,2019-2020,2653.5,115.3695652173913
CJ McCollum,36,2019-2020,3362.0,93.38888888888889
Marvin Bagley III,57,2019-2020,426.0,7.473684210526316
Khris Middleton,41,2019-2020,2944.5,71.8170731707317
Buddy Hield,50,2019-2020,2699.0,53.98
DeMar DeRozan,48,2019-2020,3621.0,75.4375
Jaren Jackson Jr.,36,2019-2020,2139.0,59.416666666666664
Brook Lopez,18,2019-2020,2365.5,131.41666666666666
Lou Williams,30,2019-2020,2496.0,83.2
Otto Porter Jr.,21,2019-2020,369.5,17.595238095238095
Thomas Bryant,27,2019-2020,1713.5,63.46296296296296
Caris LeVert,13,2019-2020,1814.0,139.53846153846155
Steven Adams,30,2019-2020,2587.0,86.23333333333333
Jamal Murray,11,2019-2020,2481.0,225.54545454545453
Al Horford,7,2019-2020,2612.0,373.14285714285717
Zach Collins,1,2019-2020,202.0,202.0
DeAndre Jordan,19,2019-2020,1903.0,100.15789473684211
RJ Barrett,11,2019-2020,1657.5,150.6818181818182
Serge Ibaka,4,2019-2020,2184.0,546.0
Terry Rozier,12,2019-2020,2440.0,203.33333333333334
Tobias Harris,30,2019-2020,3311.0,110.36666666666666
Bam Adebayo,23,2019-2020,4126.0,179.3913043478261
Gordon Hayward,10,2019-2020,2272.5,227.25
JJ Redick,3,2019-2020,1696.0,565.3333333333334
Brandon Ingram,7,2019-2020,3113.5,444.7857142857143
Marc Gasol,8,2019-2020,1271.5,158.9375
Harrison Barnes,6,2019-2020,2296.5,382.75
Lonzo Ball,4,2019-2020,2647.5,661.875
Jonathan Isaac,5,2019-2020,1380.5,276.1
Eric Bledsoe,7,2019-2020,2418.5,345.5
Josh Richardson,3,2019-2020,1705.0,568.3333333333334
Danilo Gallinari,15,2019-2020,2225.5,148.36666666666667
Ja Morant,5,2019-2020,3149.5,629.9
Jarrett Allen,4,2019-2020,2908.0,727.0
Bojan Bogdanovic,7,2019-2020,2220.0,317.14285714285717
Collin Sexton,1,2019-2020,2572.5,2572.5
Larry Nance Jr.,3,2019-2020,1874.0,624.6666666666666
Eric Gordon,1,2019-2020,895.0,895.0
Robert Covington,8,2019-2020,2434.5,304.3125
Kyle Kuzma,3,2019-2020,1610.5,536.8333333333334
Jeff Teague,1,2019-2020,1793.5,1793.5
Thaddeus Young,2,2019-2020,1741.5,870.75
Hassan Whiteside,4,2019-2020,3980.0,995.0
Malcolm Brogdon,3,2019-2020,2405.5,801.8333333333334
Jabari Parker,2,2019-2020,1269.0,634.5
Joe Harris,1,2019-2020,2088.5,2088.5
Dejounte Murray,1,2019-2020,2316.5,2316.5
Jonas Valanciunas,3,2019-2020,3407.5,1135.8333333333333
JaVale McGee,2,2019-2020,1681.0,840.5
Victor Oladipo,1,2019-2020,559.0,559.0
Joe Ingles,2,2019-2020,2182.5,1091.25
Paul Millsap,2,2019-2020,1553.5,776.75
Danny Green,1,2019-2020,1393.5,1393.5
Derrick White,1,2019-2020,2111.5,2111.5
Kelly Oubre Jr.,1,2019-2020,2291.5,2291.5
Dwight Howard,2,2019-2020,1864.0,932.0
Tyler Herro,2,2019-2020,1511.5,755.75
Justise Winslow,1,2019-2020,295.5,295.5
T.J. Warren,2,2019-2020,2785.5,1392.75
Rudy Gay,1,2019-2020,1789.5,1789.5
Shai Gilgeous-Alexander,2,2019-2020,3075.5,1537.75
Coby White,1,2019-2020,1692.5,1692.5
Kendrick Nunn,1,2019-2020,2114.5,2114.5
Willie Cauley-Stein,1,2019-2020,1510.5,1510.5
Taurean Prince,1,2019-2020,1730.5,1730.5
Enes Kanter,2,2019-2020,1623.5,811.75
Marcus Morris Sr.,1,2019-2020,2057.0,2057.0
Jeremy Lamb,2,2019-2020,1420.5,710.25
Wendell Carter Jr.,1,2019-2020,1589.5,1589.5
Elfrid Payton,1,2019-2020,1760.5,1760.5
Alex Len,1,2019-2020,1397.5,1397.5
Terrence Ross,1,2019-2020,1961.5,1961.5
Bogdan Bogdanovic,1,2019-2020,2047.0,2047.0
Tristan Thompson,1,2019-2020,2391.5,2391.5
Kelly Olynyk,1,2019-2020,1507.0,1507.0
Tomas Satoransky,1,2019-2020,2088.5,2088.5
Miles Bridges,1,2019-2020,1984.5,1984.5
Rajon Rondo,1,2019-2020,1188.5,1188.5
Mikal Bridges,1,2019-2020,1977.0,1977.0
